run_id,random_seed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
40,40,spawned_4,False,,,20.0,20.0
40,40,spawned_5,False,,,20.0,20.0
40,40,spawned_6,False,,,20.0,20.0
40,40,spawned_7,False,,,20.0,20.0
41,41,solo,False,,,0.0,22.82
41,41,spawned_1,False,,,6.91,10.05
41,41,spawned_2,False,,,20.0,20.0
41,41,spawned_3,False,,,20.0,20.0
41,41,spawned_4,False,,,20.0,20.0
41,41,spawned_5,False,,,20.0,20.0
41,41,spawned_6,False,,,20.0,20.0
41,41,spawned_7,False,,,20.0,20.0
42,42,solo,False,,,0.0,30.0
42,42,spawned_1,False,,,6.91,10.05
42,42,spawned_2,False,,,20.0,20.0
42,42,spawned_3,False,,,20.0,20.0
42,42,spawned_4,False,,,20.0,20.0
42,42,spawned_5,False,,,20.0,20.0
42,42,spawned_6,False,,,20.0,20.0
42,42,spawned_7,False,,,20.0,20.0
43,43,solo,False,,,0.0,30.0
43,43,spawned_1,False,,,6.91,10.05
43,43,spawned_2,False,,,20.0,20.0
43,43,spawned_3,False,,,20.0,20.0
43,43,spawned_4,False,,,20.0,20.0
43,43,spawned_5,False,,,20.0,20.0
43,43,spawned_6,False,,,20.0,20.0
43,43,spawned_7,False,,,20.0,20.0
44,44,solo,False,,,3.48,17.3
44,44,spawned_1,False,,,20.0,20.0
44,44,spawned_2,False,,,11.28,13.51
44,44,spawned_3,False,,,20.0,20.0
44,44,spawned_4,False,,,19.94,20.0
44,44,spawned_5,False,,,20.0,20.0
44,44,spawned_6,False,,,20.0,20.0
44,44,spawned_7,False,,,20.0,20.0
45,45,solo,False,,,3.48,17.3
45,45,spawned_1,False,,,6.91,10.05
45,45,spawned_2,False,,,11.28,13.51
45,45,spawned_3,False,,,20.0,20.0
45,45,spawned_4,False,,,19.94,20.0
45,45,spawned_5,False,,,20.0,20.0
45,45,spawned_6,False,,,20.0,20.0
45,45,spawned_7,False,,,20.0,20.0
46,46,solo,False,,,7.04,30.0
46,46,spawned_1,False,,,20.0,20.0
46,46,spawned_2,False,,,20.0,20.0
46,46,spawned_3,False,,,20.0,20.0
46,46,spawned_4,False,,,20.0,20.0
46,46,spawned_5,False,,,20.0,20.0
46,46,spawned_6,False,,,20.0,20.0
46,46,spawned_7,False,,,20.0,20.0
47,47,solo,False,,,3.48,17.3
47,47,spawned_1,False,,,6.91,10.05
47,47,spawned_2,False,,,11.28,13.51
47,47,spawned_3,False,,,20.0,20.0
47,47,spawned_4,False,,,19.94,20.0
47,47,spawned_5,False,,,20.0,20.0
47,47,spawned_6,False,,,20.0,20.0
47,47,spawned_7,False,,,20.0,20.0
48,48,solo,False,,,3.48,17.3
48,48,spawned_1,False,,,20.0,20.0
48,48,spawned_2,False,,,11.28,13.51
